task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
pw,Nigeria,Wamba,84313.80754998716,86884.92556886276,65855.01048504442,105595.01780051306,102670.272536
pw,Nigeria,Dikwa,84191.67898808938,84072.59871135402,62470.62274055102,110734.92828302276,108365.306805
pw,Nigeria,OwerriWest,84120.79181220161,82362.84062369628,62310.06840466102,107422.22971683937,175296.723984
pw,Nigeria,OruEast,84011.20637452789,82630.47677457517,67996.81614308912,98278.4017449887,165341.969076
pw,Nigeria,IlorinSouth,83802.06755477049,79111.95953767688,36323.06958063772,139788.36510735092,258799.824389
pw,Nigeria,Opobo/Nkoro,83538.09921449238,79820.88820204337,51576.91750002706,123371.03959866431,161022.491049
pw,Nigeria,OruWest,83291.1671186632,80409.12516031697,68845.32768146029,97522.94411486069,146974.355429
pw,Nigeria,Chibok,82906.66189940323,83127.59901642782,60756.99826302035,108724.52874995957,105985.997168
pw,Nigeria,Kurmi,82740.80019771575,83776.99248876832,62669.37661434637,103803.24827763897,107665.909032
pw,Nigeria,OnitshaNorth,82675.72748329482,84140.08166773885,51957.399031728586,117820.53448445104,198377.468664
pw,Nigeria,Fagge,82510.18836731667,85621.71417589954,38929.74727440112,129948.58846107863,288969.456594
pw,Nigeria,Kukawa,82449.73150811048,79546.28716944664,50084.45251665657,119646.59682414916,143986.515054
pw,Nigeria,WarriSouth-West,81868.30628695729,81240.21055358845,59437.279572704196,109930.55523729009,134164.673864
pw,Nigeria,OshimiliNorth,81779.47008893694,81510.00010533177,59724.88256612752,107332.1364121432,182730.713326
pw,Nigeria,Gagarawa,80815.55424126331,81383.55220696944,69780.51592996003,92332.19841338588,110689.37755399999
pw,Nigeria,Nangere,80509.42570107266,79325.5184487312,61430.47835978288,103099.53562678293,138206.963555
pw,Nigeria,Tarauni,80389.01928825874,73708.79597306851,35517.71992370598,116179.08510712667,316435.744342
pw,Nigeria,Ido,80056.7457369959,80822.15504274407,56312.97636475113,107568.40502607219,229349.508771
pw,Nigeria,Offa,79348.34295830954,79026.56276808877,49680.74073923355,118689.41483250199,122978.833068
pw,Nigeria,Njikoka,79169.02990786014,78256.65935590361,57295.83647099886,99700.42989175965,170844.744102
pw,Nigeria,Ayedire,78999.14927749128,78046.43817847742,50698.598172502876,110076.13069340088,117385.266816
pw,Nigeria,Emure/Ise/Orun,78006.3976819301,75285.60664483135,32364.31699600569,139684.50094186133,121898.954757
pw,Nigeria,NsitIbom,77760.65322544324,73631.2889072241,57207.70187388995,96682.76247390188,142955.371643
pw,Nigeria,EtsakoCentral,77215.6853306083,75854.64637551499,42971.64312977669,113567.78049956018,112607.669829
pw,Nigeria,UkwaWest,76463.43471550393,74718.30110919877,59472.06944401387,95887.8509434832,118863.891483
pw,Nigeria,OshimiliSouth,76413.00276281366,73627.96433924379,41341.70632582251,113574.31516844696,229451.785122
pw,Nigeria,EtimEkpo,76166.0673494962,72613.39473079122,59539.61468050443,93779.18739895124,141312.452348
pw,Nigeria,UrueOffong,76032.87634859442,72982.40302168729,50972.57125775951,104753.63180477421,106476.018522
pw,Nigeria,Roni,75995.56420199355,76635.08366369958,59977.99685066665,91018.67309014969,97219.61352
pw,Nigeria,Ardo-Kola,75377.64878929591,75753.29770857151,47504.436768902364,108290.50067710836,134097.409976
pw,Nigeria,Boluwaduro,75369.7402156326,73499.79533287534,33226.516001069635,142128.3611067263,114773.41314599999
pw,Nigeria,Idah,73499.65462970003,70431.53861814224,29257.825877908286,122346.75298753443,94533.302515
pw,Nigeria,Nkwerre,72919.31729812137,70175.75789012254,62690.971863689825,85160.18649847765,108009.763407
pw,Nigeria,Ila,72595.49287512619,70259.2840981992,32234.85596267958,126580.26973651155,109591.605904
pw,Nigeria,Numan,72081.04186617903,72300.89702154197,42103.713738401806,107018.12937627872,128995.283792
pw,Nigeria,Machina,72006.4420405493,72351.86584101422,55538.980620817376,88610.91465552997,94526.101903
pw,Nigeria,Efon,71972.57620204175,71365.26715467901,31579.96268623665,120295.75891467743,124971.67372
pw,Nigeria,Gombe,71586.73975687334,70639.32434773023,63955.406416408776,78791.07367271133,160719.249062
pw,Nigeria,Maiha,71563.3598048582,72172.70677571371,51498.603539920594,94671.33161503034,96524.917674
pw,Nigeria,Osogbo,70901.29572143804,72862.39105611214,35585.122181945626,119446.6964361337,192313.352461
pw,Nigeria,Tureta,69772.02274570383,69016.57693140102,46212.64890244259,101077.16159549743,97807.142707
pw,Nigeria,KwayaKusar,69726.94383598579,70093.30333341745,56884.40053030164,83408.46204779897,91554.950772
pw,Nigeria,Gumel,69144.71652494943,68004.35520700882,36084.47785160646,109169.31183197103,150407.007157
pw,Nigeria,Bomadi,68400.94801663513,64637.33819955025,34623.16599804732,109561.47181995356,110497.057354
pw,Nigeria,Igueben,68233.0169771915,67559.76950030011,38585.03445528062,110520.26142866227,108927.56149200001
pw,Nigeria,OgoOluwa,67037.77747033173,66932.97476192584,47723.592962283605,85859.78333975302,92290.131242
pw,Nigeria,Etung,67027.7903962296,65956.21451482036,45693.70763152124,93304.95599491247,108485.814161
pw,Nigeria,IbadanNorth-West,66520.5117236221,64863.70343251275,9514.81332576056,140115.77579711127,204477.725822
pw,Nigeria,OgunWaterside,66419.87898154349,66540.80567966156,44731.7553732759,95610.77892279306,112156.637004
pw,Nigeria,OndoEast,66103.38190665226,64706.8087872531,37968.34348673836,106652.13029124068,108124.229073
pw,Nigeria,OlaOluwa,66020.95005290346,65093.6022227568,42916.16602000554,94183.30468720458,95967.23644200001
pw,Nigeria,Agwara,64758.74604825667,65238.186319897606,41301.61558178368,93154.71762769468,100416.34069400001
pw,Nigeria,Ugwunagbo,63871.19387361939,62605.89355567264,47798.9197797285,82438.75242524369,108391.230934
pw,Nigeria,EdeSouth,63237.047285786786,61996.24981749683,42599.495372572055,89850.36836089336,105075.228355
